issue number,issue title,created at,closed at,state,number of comments
3033,Bug in populate_with_current_scope_attributes Rails 3.0.9,2011-09-15 13:56:43,2011-12-17 16:11:24,closed,2
3034,[Rails 3.1] Uncountable inflection not respected by url_for,2011-09-15 15:54:20,2011-10-22 18:28:41,closed,2
3038,Inconsistent API between NamedScope.scoped and AssociationCollection#scoped,2011-09-15 20:35:14,2012-04-30 15:52:07,closed,4
3041,CSRF token authenticity Warning for JSON Request,2011-09-16 02:58:20,2011-09-16 07:17:34,closed,14
3045,font-url fails with URLs that contain ? or # in production,2011-09-16 14:58:39,2014-01-26 04:21:33,closed,9
3047,:domain => :all is not replaced in session options before calling Rack:Session,2011-09-16 16:33:59,2012-04-30 13:30:11,closed,11
3051,ActionController doesn't handle TypeError in Rack parameter parsing,2011-09-16 22:45:14,2012-05-20 18:08:19,closed,11
3052,Where(Hash) followed by Scoped Where(Hash) in ActiveRecord,2011-09-16 22:51:48,2013-03-12 15:16:05,closed,10
3053,Missing 'If-Modified-Since' Header,2011-09-16 23:15:43,2011-10-01 22:56:23,closed,1
3054,ActionDispatch::Reloader significantly slows down assets loading,2011-09-17 06:11:58,2011-10-08 23:49:46,closed,2
3059,Ajax callbacks in Rails 3.1.1.rc1 are broken (as demo'd at GoGaRuCo),2011-09-17 21:56:12,2011-09-20 19:03:41,closed,9
3061,Edge Rails can't fetch journey gem,2011-09-18 10:49:13,2011-09-18 14:11:52,closed,6
3063,streaming doesn't work when XML/CSV is rendered in template,2011-09-18 17:04:44,2012-04-29 15:52:55,closed,6
3067,Support for dumping mysql/year column types?,2011-09-18 21:49:41,2012-08-21 04:53:21,closed,4
3068,ActiveRecord (ActiveModel?) problems,2011-09-18 21:52:30,2011-10-16 20:54:27,closed,3
3071,find_by with symbol,2011-09-19 05:51:43,2011-09-19 13:54:58,closed,3
3072,FileStore key_file_path does not properly limit filenames to 255 characters,2011-09-19 09:23:29,2011-09-22 04:15:14,closed,2
3073,change_column affects schema of unrelated decimal columns,2011-09-19 10:58:34,2011-10-22 11:51:31,closed,2
3075,Routing constraints using lambda is used and fails when constraint isn't met,2011-09-19 14:14:25,2012-07-14 14:14:42,closed,18
3076,fields_for - issues handeling a huge amount of fields,2011-09-19 14:57:55,2012-08-07 05:00:16,closed,11
3077,STI models on same file crash,2011-09-19 15:17:23,2012-04-30 15:43:35,closed,3
3078,Incompatible encoding regexp match (UTF-8 regexp with ASCII-8BIT string),2011-09-19 19:09:48,2011-09-19 20:49:55,closed,4
3080,"image_tag("""") tries to get an image from the asset_pipeline",2011-09-19 23:12:59,2012-05-18 13:08:23,closed,40
3082,Parameter encoding problem in production,2011-09-20 12:41:14,2011-09-22 14:50:22,closed,3
3083,touch + autosave + accessing association causes updated_at to be overwritten by Rails,2011-09-20 16:07:48,2013-05-01 20:26:22,closed,7
3085,collection.<< counter cache doesn't respect validations,2011-09-21 00:55:00,2012-03-23 03:59:25,closed,6
3087,autoload :DeprecatedBlockHelpers refers to non-existent file,2011-09-21 09:55:59,2011-09-27 07:58:23,closed,1
3088,to_date in activesupport does not handle invalid dates,2011-09-21 12:12:58,2012-03-21 09:58:42,closed,1
3089,Rake loads environment multiple times for tests,2011-09-21 14:28:08,2013-01-06 19:54:16,closed,7
3093,link_to_function does not work with do block,2011-09-21 18:29:48,2012-04-30 04:32:45,closed,9
3094,Use Partial Style Names for Asset Generation,2011-09-21 20:30:10,2012-04-30 15:37:20,closed,3
3095,ActiveModel::Errors bug?,2011-09-22 00:07:30,2011-09-22 00:31:59,closed,4
3100,Active Model Dirty attribute_will_change! causes infinite recursion in getter that calls setter,2011-09-22 14:03:35,2012-04-29 14:49:18,closed,11
3101,ActiveRecord: bi-directional HABTM problem,2011-09-22 15:55:28,2012-09-15 07:28:56,closed,4
3104,Active record 3.1 does not respect set_primary_key.,2011-09-22 18:49:05,2011-09-26 14:41:09,closed,2
3109,"Mime::Type.lookup_by_extension only finding ""text/*"" types",2011-09-23 05:31:21,2011-09-23 06:48:10,closed,1
3110,has_many with through option breaks building associations,2011-09-23 15:39:25,2011-09-26 15:12:28,closed,2
3111,get params are ignored in production,2011-09-23 15:44:28,2012-03-13 13:55:30,closed,13
3112,3.1.1rc1: Sass helper image-url for scss uses digest:ed filenames even if disabled,2011-09-23 17:08:04,2011-09-24 16:13:53,closed,3
3113,Testing has_one Nested Route,2011-09-23 17:10:15,2011-09-26 12:52:32,closed,2
3116,css.erb custom helpers,2011-09-23 19:51:59,2011-12-11 13:17:49,closed,9
3117,SerializationTypeMismatch only thrown on Initialization but not on assignment,2011-09-23 20:53:28,2013-03-15 12:25:35,closed,11
3118,Redirect causes InvalidURIError when spaces are used in the url,2011-09-23 22:06:23,2012-05-08 14:00:31,closed,5
3119,Assets precompilation uses obsolete older assets,2011-09-23 22:24:57,2011-09-26 16:59:45,closed,2
3122,Wierd issue using .select in gem,2011-09-24 19:30:24,2011-09-24 22:29:57,closed,2
3126,Latest 3.1.1.rc1 uses /images/ instead of /assets/ for image_tag helper,2011-09-25 15:19:45,2011-09-26 14:21:22,closed,9
3128,Date.current is not correct,2011-09-26 01:51:41,2011-09-26 07:59:26,closed,3
3129,Skip Re-Saving Session Cookies,2011-09-26 02:50:28,2014-05-27 16:25:13,closed,12
3130,abstract_class will not allow inheritage of polymorphic association,2011-09-26 06:06:35,2012-06-05 16:25:14,closed,5
3131,Running `rails s` inside spec/dummy failed,2011-09-26 10:19:11,2012-02-14 01:08:20,closed,4
3137,ActiveModel::Dirty and Non-Relational Stores,2011-09-26 16:43:20,2012-04-30 00:40:00,closed,3
3140,Naming a javascript file my.class.js throw's a 'Sprockets::ContentTypeMismatch',2011-09-27 01:50:44,2011-09-30 18:18:56,closed,3
3144,Including url_helpers in class causes error,2011-09-27 13:09:04,2014-05-27 16:26:49,closed,32
3145,Time is created in UTC with local time,2011-09-27 13:36:53,2015-01-15 15:08:30,closed,33
3146,add options hash to pluralize view helper,2011-09-27 13:38:31,2011-09-28 01:50:36,closed,2
3147,Can't find activerecord-mysql-adapter,2011-09-27 15:05:36,2011-10-09 04:13:18,closed,20
3148,Disabling eager loading in application.rb prevents autoloading,2011-09-27 15:59:05,2011-10-01 01:11:05,closed,9
3149,Change Kathryn's email header to Build a Partnership,2011-09-27 18:17:02,2011-09-27 18:18:54,closed,2
3153,bundle install does not work from rails generator,2011-09-28 08:29:37,2012-01-14 14:39:53,closed,15
3157,mass assignment protection should be done in the controller not model,2011-09-28 19:00:18,2012-03-28 03:49:30,closed,19
3158,Digest authentication header fails to include query string,2011-09-28 22:20:31,2011-09-28 22:49:56,closed,0
3160,PostgreSQLAdapter::reconnect! fails when Postgres restarted (Rails 3.1),2011-09-29 02:51:32,2011-10-20 15:45:45,closed,5
3163,Using table_name_prefix with hyphen causes MySQL error,2011-09-29 07:37:54,2012-03-04 16:33:26,closed,3
3164,rails 3.1.1.rc1 emits warning for each assets when using ruby-1.9.3-rc1,2011-09-29 08:37:03,2012-03-30 01:10:02,closed,27
3165,ActiveRecord#select should accept variable number of arguments,2011-09-29 09:23:31,2012-08-23 19:04:33,closed,4
3166,Wrong Content-Type when using localized templates,2011-09-29 10:04:03,2011-09-29 10:56:28,closed,1
3168,3-1-stable: assets:precompile now creates both digested:ed _and_ regular filenames,2011-09-29 14:06:39,2011-09-29 14:43:59,closed,7
3169,Scoped way ,2011-09-29 14:21:08,2012-04-28 21:06:09,closed,1
3170,validates_associated ignores :if option,2011-09-29 14:55:02,2012-03-30 07:56:21,closed,6
3173,Weird behavior when generating controller in 3.0.5,2011-09-30 01:51:06,2012-02-06 15:01:54,closed,6
3176,test_ensure_that_tests_works_in_full_mode fails because of uninitialized constant ActiveRecord::TestFixtures (NameError),2011-09-30 03:41:53,2011-09-30 16:44:28,closed,2
3179,Why does has_many collection.empty? and present? not use exists? method?,2011-09-30 14:08:20,2012-09-15 11:18:03,closed,8
3182,problem on date_select method,2011-09-30 19:22:40,2012-04-28 23:29:03,closed,3
3183,Eager loading with a HABTM and include: Add new passing test that previously failed on Rails 2.3.8 ,2011-09-30 22:41:50,2011-12-21 11:21:57,closed,4
3184,Bug or Question about Hash.new([]) << 1 ,2011-10-01 08:24:42,2011-10-01 14:44:45,closed,4
3188,undefined method `default_scoped?',2011-10-01 17:46:21,2011-10-02 03:51:35,closed,2
3190,JRuby and Bundler strange error after creating Rails 3.1.1-rc2 project,2011-10-03 00:57:39,2011-10-09 16:27:51,closed,3
3195,Asset caching throws Sprockets::FileOutsidePaths,2011-10-03 09:46:24,2011-10-04 06:48:45,closed,1
3197,"""precompile should handle utf8 filenames"" is failing on edge",2011-10-03 11:40:49,2011-10-09 04:07:34,closed,1
3198,Asset pipeline unexpectedly removes digest assets - 3.1.1.rc2,2011-10-03 11:53:21,2011-10-03 12:54:54,closed,10
3201,Double quotes escaping in tag helpers,2011-10-03 16:46:56,2011-10-09 04:07:49,closed,1
3204,Add the ability to specify column order when creating indexes.,2011-10-03 23:00:07,2011-11-05 19:51:58,closed,2
3205,Transaction callbacks should raise exceptions,2011-10-04 01:31:28,2012-09-15 07:19:52,closed,11
3207,Regression between 3.1.1.rc1 and 3.1.1.rc2,2011-10-04 03:08:13,2011-10-05 19:22:49,closed,11
3211,AR#build should wire both ways even on non-persisted parents,2011-10-04 11:36:14,2011-10-04 12:07:40,closed,1
3213,Accept Relation object to ActiveRecord::QueryMethods::from,2011-10-04 12:44:35,2012-04-29 18:28:05,closed,4
3214,Move Date/Number Helpers to ActiveSupport,2011-10-04 13:24:52,2012-05-26 12:54:58,closed,10
3215,Trailing slash removed from env['PATH_INFO'] on mounted app,2011-10-04 13:59:50,2013-06-21 06:56:35,closed,31
3216,"after bundle update, some assets in gems are not found",2011-10-04 15:03:18,2011-10-16 10:57:17,closed,4
3217,Creating a record falsely appears to succeed if AR::RecordInvalid is raised in a callback,2011-10-04 15:17:31,2012-08-12 02:08:42,closed,9
3218,"3.1.1.rc2: ""wrong number of arguments (3 for 2)"" in stylesheet_link_tag",2011-10-04 17:18:54,2011-10-04 17:47:47,closed,3
3220,Unexpected behavior of SMTP TLS  through ActionMailer,2011-10-04 19:20:18,2012-04-29 14:21:35,closed,7
3223,inverse_of not working with has_many,2011-10-04 20:55:30,2012-08-21 04:05:18,closed,7
3224,Routes that start with a number are invalid,2011-10-04 20:59:25,2011-10-05 17:44:39,closed,3
3226,diff design between new/where of ar for model id? issue?,2011-10-05 00:21:40,2011-10-05 12:12:52,closed,2
3227,HTTP digest authentication fails when request URI ends with '?',2011-10-05 03:55:33,2011-10-05 04:29:03,closed,1
3234,render :text should have mime type text/plain,2011-10-06 09:30:07,2011-10-12 04:14:32,closed,6
3235,Rails could include a easy way to create a class usable in a form,2011-10-06 09:47:47,2011-10-09 22:15:30,closed,4
3239,No error or warning when using old secret_token API,2011-10-06 20:20:48,2012-04-29 23:04:45,closed,4
3241,Lack of documentation about render :partial,2011-10-06 23:20:31,2011-10-07 18:23:47,closed,2
3242,Issues with `where` when using associations,2011-10-07 06:16:04,2011-10-07 08:08:22,closed,2
3246,config.assets.enabled=false results in a method_missing error on rails start,2011-10-07 19:53:41,2011-12-11 13:35:47,closed,16
3247,After upgrading from 3.1 to 3.1.1 has_many ... :source changed its behaviour,2011-10-08 01:08:34,2011-11-03 10:29:07,closed,6
3251,link_to_function :confirm => 'Are you sure?' automaticaly skip confirmation,2011-10-08 06:52:32,2012-03-31 16:17:08,closed,4
3257,Rails 2.3/3.1 TimeZone calculation/parsing performace gap,2011-10-08 13:53:36,2011-10-08 14:07:06,closed,1
3259,Asset precompilation does not work when deploying under sub-path,2011-10-08 18:07:07,2011-12-12 17:32:23,closed,25
3260,Issue with Inflector,2011-10-08 18:44:49,2011-10-08 23:24:38,closed,2
3263,console doesn't work without ruby src,2011-10-09 01:58:03,2011-10-09 02:45:24,closed,4
3264,try doesn't work properly in rails 3.1.1,2011-10-09 03:34:05,2011-10-09 03:44:21,closed,7
3268,ActiveResource generates wrong XML when no attributes are set,2011-10-09 13:37:06,2012-05-06 07:43:20,closed,4
3269,respond_with returns wrong JSON content for errors + AResource documentation bugs,2011-10-09 14:21:01,2012-04-30 15:20:35,closed,4
3271,[Rails 3.1.x] - Nested Has Many Through Conditions being Cached in Unrelated Queries,2011-10-09 18:22:51,2011-11-03 15:14:48,closed,0
3273,support app/tasks,2011-10-10 07:25:49,2011-10-10 08:34:11,closed,1
3276,validates_uniqueness_of is not working for mysql apps,2011-10-10 09:31:18,2011-10-15 09:34:06,closed,2
3277,ActiveRecord::RecordNotUnique not always raised,2011-10-10 09:58:51,2011-12-13 17:09:40,closed,2
3279,[3.1.1] PGError: ERROR:  relation does not exist,2011-10-10 13:58:32,2012-06-20 14:39:49,closed,8
3280,Shorthand route nested in scope produces missing controller error,2011-10-10 14:35:37,2011-10-11 06:57:10,closed,1
3281,Uninitialized Constant for STI Polymorphic Associations with :source,2011-10-10 14:52:43,2011-10-10 17:12:32,closed,2
3282,Provide a standard way to define custom asset helpers,2011-10-10 17:35:21,2012-05-05 02:41:39,closed,9
3283,Generic route nested in scope not found,2011-10-10 17:55:18,2012-04-29 09:19:25,closed,7
3284,Documentation error for has_many association in Rails Guide,2011-10-10 22:22:51,2011-10-11 13:57:01,closed,3
3291,Assets not loading with Rails 3.1.1,2011-10-11 09:31:00,2011-12-11 15:13:56,closed,11
3292,Relational addition through has_many :through via polymophic association doesn't work.,2011-10-11 11:06:18,2011-10-11 14:54:30,closed,1
3293,rails 3.1 route error with 2 parameters,2011-10-11 13:17:24,2011-10-11 20:15:52,closed,4
3296,sprockets (= 2.0.0.beta.10) is yanked,2011-10-11 17:55:36,2011-10-11 18:04:21,closed,2
3301,Regex with a period route fails,2011-10-12 00:56:45,2012-07-14 01:21:37,closed,8
3306,Rake assets:precompile fails on Rails 3.1.1 but not on Rails 3.1.1.rc2,2011-10-12 07:21:24,2011-10-17 12:32:33,closed,5
3307,"Exception Encoding::UndefinedConversionError -> ""\xC5"" from ASCII-8BIT to UTF-8",2011-10-12 08:28:46,2011-10-12 13:08:33,closed,0
3312,"Missing resource route when named ""assets""",2011-10-12 17:14:46,2011-10-13 23:25:00,closed,2
3313,MissingAttributeError for database column in after_find callback,2011-10-12 21:02:25,2012-12-04 12:12:38,closed,8
3316,ActiveResource element_path not adding prefixes,2011-10-13 09:52:17,2012-04-12 13:32:40,closed,3
3317,Streaming not working with passenger + apache + mod_deflate,2011-10-13 13:13:46,2012-04-30 15:14:12,closed,1
3318,config.assets.digest = true seems to be preventing assets precompile with SWF files (Rails 3.1.0),2011-10-13 16:36:07,2011-10-18 05:59:26,closed,3
3321,Rails 3.1 (and 3.1.1) fails to respond in production,2011-10-13 17:31:02,2011-10-13 19:45:35,closed,2
3322,'gem install rails' stuck forever on RDoc generation,2011-10-13 17:35:52,2011-10-13 23:34:24,closed,6
3323,Controller should be responsible for choice to show exceptions,2011-10-13 21:16:15,2011-11-28 21:57:44,closed,6
3325,STI should be able to handle a custom column name,2011-10-13 23:41:34,2012-06-15 20:45:24,closed,2
3326,helper method seems to not load record completely before code is executed,2011-10-14 03:48:12,2012-03-31 16:09:31,closed,2
3328,Where hash with conditional SQL parameters,2011-10-14 06:30:37,2011-12-16 19:22:54,closed,2
3332,Cannot adjust $0 without breaking rake,2011-10-14 17:55:16,2012-05-12 08:32:45,closed,3
3333,Asset pipeline is trying to compute public path of file contents,2011-10-14 20:38:11,2011-12-11 09:33:33,closed,9
3335,ConnectionPool cache not cleared automatically,2011-10-15 09:10:48,2011-10-18 18:19:44,closed,0
3338,Add support to specify column collation when working with columns in SQLite,2011-10-15 15:07:56,2012-04-30 15:12:56,closed,2
3339,Functional testing method get confuses action with params,2011-10-15 15:32:15,2012-04-28 23:39:34,closed,7
3341,Autoloading custom form builder,2011-10-16 03:00:39,2012-04-29 05:35:12,closed,5
3345,Warning over reserved names,2011-10-16 16:20:47,2012-04-28 03:36:54,closed,1
3347,Rails 3.1 ActiveRecord performance regression,2011-10-16 21:48:03,2011-10-18 23:36:06,closed,12
3348,"In Rails 3.1, ActionView::Template::Error (file name too long...)",2011-10-17 03:13:42,2011-12-11 13:14:09,closed,8
3353,Active Support JSON Encoding options_for should not return nil,2011-10-17 20:17:43,2012-05-24 02:03:56,closed,7
3355,cache: [GET /] miss and NoMethodError (undefined method `request_uri' for ActionDispatch),2011-10-18 04:32:25,2011-10-18 16:41:28,closed,1
3360,How should I write the ActiveRecord when there are multiple associations?,2011-10-18 14:03:58,2012-03-31 00:39:21,closed,2
3363,Impossible to create resources :assetes,2011-10-18 22:51:29,2011-10-19 15:20:52,closed,1
3364,Rails 3.1.1: ActiveRecord::Base#descendants returns [] after first request.,2011-10-19 11:29:45,2012-09-15 08:11:46,closed,30
3365,asset_path helper not including relative url when used in .css.erb,2011-10-19 11:52:01,2011-12-12 17:15:07,closed,10
3367,Join beetween 2 databases with pure SQL syntax,2011-10-19 13:33:17,2012-05-13 14:22:55,closed,2
3368,scss asset path in 3.1.1,2011-10-19 15:08:42,2011-10-19 16:52:03,closed,2
3370,Mountable engine generator - not friendly to outside testing utilities.,2011-10-19 18:47:27,2012-01-06 21:42:14,closed,1
3372,route problem with singular and plural version of a route.,2011-10-19 23:23:53,2011-10-19 23:40:46,closed,3
3376,Move attr_readonly to ActiveModel,2011-10-20 09:21:30,2011-12-23 05:34:17,closed,6
3378,`rake rdoc` aborts with undefined method `gsub' for RDoc::Comment,2011-10-20 14:30:58,2011-12-08 20:13:48,closed,7
3379,after_initialize example is wrong on guides,2011-10-20 14:45:22,2011-10-20 23:32:49,closed,2
3380,Asset pipeline not happy with sub-repos,2011-10-20 18:13:21,2012-09-14 15:11:27,closed,9
3381,TZInfo::TimeOrDateTime compare fails in certain cases in 3.1.0+,2011-10-20 18:45:33,2011-10-25 04:08:17,closed,0
3382,"A ""."" in the string literal causes this query to choke",2011-10-20 21:07:16,2011-10-20 21:20:28,closed,1
3383,Merge pull request #1796 into Rails 3.1 branch,2011-10-20 21:20:16,2011-11-01 03:22:52,closed,5
3384,"Rails 3.1.0, Can't use off: in a fixture file",2011-10-21 00:20:41,2011-10-21 04:25:11,closed,2
3385,label_tag block not working,2011-10-21 06:55:15,2011-12-17 15:21:15,closed,1
3386,AR: selecting specific fields does not set readonly? to true,2011-10-21 07:57:33,2012-09-26 14:59:44,closed,5
3388,Deleted migration.rb file?,2011-10-21 11:07:21,2011-10-21 21:09:28,closed,2
3389,ActiveResource known_attributes does not remove duplicates,2011-10-21 13:15:06,2012-03-27 07:17:00,closed,3
3390,HTTP_ACCEPT doesn't allows extra attributes for MIME TYPE application/json,2011-10-21 13:48:02,2012-05-24 20:34:13,closed,4
3391,ActiveRecord does not type_cast attributes from joined tables,2011-10-21 16:42:37,2012-04-29 17:34:59,closed,2
3392,PostgreSQL adapter: reconnection problem,2011-10-21 17:52:35,2012-05-30 20:43:13,closed,10
3398,Stylesheet assets with period in the name cannot be loaded when config.assets.compile = true,2011-10-21 21:14:51,2011-10-24 15:51:15,closed,5
3399,sqlite3 adapter drops :decimal columns precision & scale when migration tries to alter them,2011-10-21 21:45:33,2011-10-22 11:51:00,closed,3
3401,Precompilation does not expand files when assets.debug = true,2011-10-22 03:45:13,2011-12-11 15:07:40,closed,3
3410,rake assets:precompile loads routes: option to disable?,2011-10-23 04:48:23,2011-12-24 14:54:50,closed,11
3411,nested_attributes problem when primary key is not id,2011-10-23 20:05:27,2012-09-08 00:26:33,closed,5
3413,Requiring 'json' gem breaks Rails on IronRuby,2011-10-24 03:10:02,2011-10-24 11:49:38,closed,3
3415,@locals seems to be Nil in assert_template,2011-10-24 07:11:45,2012-10-06 19:45:05,closed,6
3417,Should RailsHelper really overwrite stylesheet_path/javascript_path?,2011-10-24 09:00:52,2012-01-03 19:51:01,closed,5
3419,"Rake assets:precompile configuration, make assets:precompile:nondigest optional.",2011-10-24 12:42:02,2012-04-27 17:58:08,closed,2
3423,[ActiveRecord 3.1.1] has_many :through with Polymorphic Associations seems broken,2011-10-24 16:40:59,2011-10-24 16:46:44,closed,1
3425,has_many :through behaves as if :uniq => true was set even when its not,2011-10-24 18:59:08,2011-11-03 13:26:41,closed,4
3426,ActionMailer should throw an error if template is not found,2011-10-24 21:04:07,2012-02-25 10:44:22,closed,5
3427,asset_path conflict,2011-10-24 22:36:01,2011-12-08 17:59:15,closed,5
3429,Rails master crashes on form submit,2011-10-24 23:38:57,2013-01-21 17:22:09,closed,19
3430,"Windows, Jruby, Rails 3.1.0/1 - Same file (Sprockets)",2011-10-25 02:27:51,2012-04-28 04:43:56,closed,8
3431,ActiveSupport::TimeWithZone compare fails between Time/DateTime in 3.1 (3.0 works),2011-10-25 04:11:44,2013-10-27 20:09:22,closed,13
3432,reversible remove_column,2011-10-25 09:41:35,2012-04-29 09:44:11,closed,5
3433,"3.1.1, html view has precedence over a js one in production",2011-10-25 16:34:23,2012-03-31 05:35:20,closed,3
3434,activerecord-2.3.14 breaks with ruby 1.9.2 in collection_accessor_methods() at line 1336 of lib/activerecord/associations.rb,2011-10-25 17:26:18,2011-11-30 18:07:08,closed,4
3436,head method should not / improperly sets content-type,2011-10-25 21:02:50,2012-05-08 07:54:00,closed,22
3440,Generated schema ignores id: false on mysql2,2011-10-26 15:20:35,2011-11-05 17:29:23,closed,10
3442,Cannot render to a specific yield region when layout is specified in a partial,2011-10-26 16:55:26,2012-06-21 02:42:13,closed,5
3447,Wrong behavior when calling redirect_to from controller that has `status` action,2011-10-27 08:28:54,2012-06-27 22:31:10,closed,23
3450,Associations with :validate => true are validating stale associations,2011-10-27 11:02:14,2011-11-29 09:56:59,closed,1
3451,RuntimeError: can't modify frozen hash,2011-10-27 13:22:23,2011-11-25 21:21:24,closed,9
3452,wrong number of arguments (2 for 1) find_by_sql following update to 3.1.1,2011-10-27 13:55:44,2011-10-27 17:13:32,closed,7
3453,Default to whitelist mode for mass assignments,2011-10-27 20:42:15,2011-12-20 00:56:49,closed,7
3454,number_field generates invalid html5,2011-10-27 22:04:09,2011-11-04 10:31:46,closed,4
3455,"ActiveRecord::Rollback should propagate across nested, non-:requires_new transaction blocks",2011-10-28 04:28:23,2012-04-29 23:33:13,closed,1
3458,"dependent => :destroy deletes children before ""before_destroy"" is executed",2011-10-28 19:49:05,2012-09-15 08:02:46,closed,36
3465,View template gets rendered without corresponding controller action,2011-10-29 22:42:36,2011-10-30 04:32:56,closed,1
3466,Test unit does not report number of passed tests,2011-10-30 07:08:44,2011-10-30 08:09:39,closed,1
3467,Ajax callbacks not run if element is removed from the page,2011-10-30 09:46:30,2012-04-25 01:40:00,closed,1
3470,i18n routes can't be recognized,2011-10-30 16:04:56,2012-06-15 16:14:21,closed,8
3471,ActiveSupport 3.0.10 Doesn't Load Under Ruby 1.9.3,2011-10-30 18:41:24,2011-11-01 16:57:09,closed,1
3472,first_or_create behaviour,2011-10-30 22:08:27,2011-11-22 12:58:23,closed,1
3474,Rails 2.3.x & Ruby 1.9.3: Load Error Missing Regex for Exception,2011-10-30 22:34:36,2011-10-31 14:09:14,closed,2
3475,Assets not properly compiled in rails 3.1,2011-10-30 22:51:52,2011-10-31 00:10:24,closed,0
3482,ActionCachePath shouldn't discard http/https,2011-10-31 16:31:09,2012-09-15 07:54:14,closed,7
3483,Query using an array of integers and ranges,2011-10-31 17:57:13,2011-11-16 17:26:46,closed,13
3485,edit controller 500 internal error,2011-11-01 01:46:15,2011-11-16 14:41:34,closed,3
3487,ActionView::Base.field_error_proc not called for FormBuilder#date_select,2011-11-01 12:04:55,2011-12-20 17:36:11,closed,0
3488,Rails 3.1.1 fails with Psych 1.2.2 in Ruby 1.9.3p0,2011-11-01 19:51:36,2011-11-01 21:03:13,closed,15
3489,ActiveRecord::Connection::SQLiteAdapter#copy_table_indexes incorrectly renames indexes,2011-11-01 19:57:12,2012-12-19 10:56:23,closed,6
3490,"ActiveRecord SQLite adaptor, Ruby 1.9.2 and UTF-16le",2011-11-01 20:37:02,2012-12-02 15:12:40,closed,7
3493,Rename_column removes auto increment from Primary Key on MySQL,2011-11-02 12:14:30,2013-04-02 15:39:38,closed,15
3495,change_column ignores new :default option,2011-11-02 16:33:42,2012-09-15 07:51:43,closed,6
3496,Global variables for referencing submatches broken with ActiveSupport::SafeBuffer#gsub + block,2011-11-02 17:18:16,2011-11-02 17:36:07,closed,2
3497,Migrations schema_migrations with multiple databases,2011-11-02 22:00:24,2012-09-14 14:36:16,closed,8
3498,issues when 'joins' accros multiple database's model,2011-11-03 06:07:14,2012-06-22 00:26:39,closed,8
3502,reflect_on_association NoMethodError: undefined method `split,2011-11-03 15:05:16,2011-11-03 22:09:28,closed,4
3504,Journey cannot be loaded when running tests,2011-11-03 19:42:11,2011-11-03 20:16:29,closed,2
3505,ActiveRecord::Observer.observed_classes doesn't get redefined properly,2011-11-03 19:46:11,2012-04-30 04:10:18,closed,12
3506,Pluralize and 'cafe'.,2011-11-04 00:12:04,2011-11-04 02:14:43,closed,6
3508,JSON does not render type attribute for single-table inherited models,2011-11-04 04:11:25,2012-06-22 00:21:24,closed,14
3511,how to get line number on on scss file turned on,2011-11-04 07:38:16,2011-11-06 10:43:09,closed,2
3512,i18n locale fallback for localized views,2011-11-04 07:46:24,2012-10-13 20:46:27,closed,6
3513,config.sass options can't be set in production ,2011-11-04 08:12:14,2012-04-27 20:01:15,closed,7
3515,_html translation should escape interpolated arguments,2011-11-04 11:26:29,2011-11-18 13:25:45,closed,3
3519,Unable to retrieve record using datetime/timestamp column.,2011-11-04 14:35:05,2014-05-13 14:50:01,closed,17
3520,Migrations do not support :precision for postgres timestamp.,2011-11-04 15:12:38,2012-06-22 18:24:00,closed,9
3522,TooManyRecords error raises when I want to update nested attributes,2011-11-05 01:08:11,2011-11-07 11:39:22,closed,2
3523,"Postgres schema fixed to ""public"" in rake",2011-11-05 01:48:41,2011-11-07 00:20:56,closed,2
3526,Rails.cache.read unmarshal everything as string,2011-11-05 05:27:08,2011-12-10 01:31:39,closed,31
3527,Documentation error,2011-11-05 07:09:00,2011-11-05 09:34:45,closed,0
3538,Replace memcache-client with dalli,2011-11-06 11:36:41,2012-08-17 13:45:53,closed,8
3540,"DateTime tests throw warning ""invalid start is ignored""",2011-11-06 11:59:40,2011-11-06 16:39:25,closed,1
3543,empty id include bug,2011-11-07 05:57:39,2011-11-07 11:10:53,closed,1
3545,Delegate id raise RuntimeError exception when allow_nil is true,2011-11-07 08:04:59,2011-11-07 11:06:30,closed,1
3546,expire_action doesn't work in some cases,2011-11-07 08:49:21,2012-04-30 03:15:48,closed,4
3548,has_many conditions doesn't scope with nested hash,2011-11-07 10:44:23,2014-04-10 20:45:00,closed,11
3550,Generating Rails engine creates wrong .gitignore,2011-11-07 12:07:08,2011-11-10 10:53:14,closed,1
3551,Trouble with periods in queries with includes,2011-11-07 12:25:10,2011-11-08 02:32:26,closed,5
3553,joins() not following delegate associations,2011-11-07 15:32:48,2012-09-15 07:47:23,closed,4
3555,No way to set input format for dates/times,2011-11-07 20:14:30,2012-05-01 03:23:01,closed,1
3556,Cannot access an ActiveResource model through a polymorphic association,2011-11-07 21:45:07,2012-04-12 13:36:04,closed,1
3558,Rails.cache.read_multi really slow,2011-11-08 01:13:57,2011-12-15 17:32:44,closed,2
3559,Outdated documentation should be invisible to Google,2011-11-08 02:04:24,2013-04-17 22:12:37,closed,9
3560,time_ago_in_words reports the wrong number of months.,2011-11-08 02:35:28,2012-04-30 19:35:34,closed,2
3566,Traces from 500s results in 10s pause on production system,2011-11-08 10:30:07,2012-04-29 08:00:26,closed,17
3567,"Ajax On Rails ""link_to_remote"" deprecated",2011-11-08 10:55:51,2011-11-08 13:50:22,closed,7
3571,<route>_url helpers should know if they should be using https or http,2011-11-08 20:15:21,2012-05-11 06:30:40,closed,7
